,0
2012-03-25,0.47368421052631576
2012-04-01,0.4782608695652174
2012-04-08,0.6666666666666666
2012-04-15,0.5833333333333334
2012-04-22,0.42105263157894735
2012-04-29,0.5277777777777778
2012-05-06,0.45
2012-05-13,0.5333333333333333
2012-05-20,0.40625
2012-05-27,0.52
2012-06-03,0.65
2012-06-10,0.3548387096774194
2012-06-17,0.55
2012-06-24,0.5483870967741935
2012-07-01,0.38461538461538464
2012-07-08,0.35294117647058826
2012-07-15,0.4444444444444444
2012-07-22,0.5714285714285714
2012-07-29,0.44
2012-08-05,0.42857142857142855
2012-08-12,0.5333333333333333
2012-08-19,0.5
2012-08-26,0.5
2012-09-02,0.5714285714285714
2012-09-09,0.5357142857142857
2012-09-16,0.6176470588235294
2012-09-23,0.4642857142857143
2012-09-30,0.5806451612903226
2012-10-07,0.5641025641025641
2012-10-14,0.5
2012-10-21,0.5365853658536586
2012-10-28,0.5161290322580645
2012-11-04,0.5227272727272727
2012-11-11,0.625
2012-11-18,0.5660377358490566
2012-11-25,0.6842105263157895
2012-12-02,0.6
2012-12-09,0.525
2012-12-16,0.5769230769230769
2012-12-23,0.2857142857142857
2012-12-30,0.75
2013-01-06,0.6216216216216216
2013-01-13,0.6744186046511628
2013-01-20,0.4772727272727273
2013-01-27,0.52
2013-02-03,0.5535714285714286
2013-02-10,0.48333333333333334
2013-02-17,0.49411764705882355
2013-02-24,0.5945945945945946
2013-03-03,0.6071428571428571
2013-03-10,0.6
2013-03-17,0.5555555555555556
2013-03-24,0.6
2013-03-31,0.4084507042253521
2013-04-07,0.5070422535211268
2013-04-14,0.6511627906976745
2013-04-21,0.5813953488372093
2013-04-28,0.6506024096385542
2013-05-05,0.6329113924050633
2013-05-12,0.5803571428571429
2013-05-19,0.5263157894736842
2013-05-26,0.3853211009174312
2013-06-02,0.514018691588785
2013-06-09,0.5487804878048781
2013-06-16,0.4823529411764706
2013-06-23,0.42105263157894735
2013-06-30,0.5285714285714286
2013-07-07,0.5384615384615384
2013-07-14,0.4666666666666667
2013-07-21,0.3137254901960784
2013-07-28,0.38461538461538464
2013-08-04,0.36363636363636365
2013-08-11,0.3783783783783784
2013-08-18,0.5306122448979592
2013-08-25,0.5789473684210527
2013-09-01,0.5769230769230769
2013-09-08,0.524390243902439
2013-09-15,0.5789473684210527
2013-09-22,0.4714285714285714
2013-09-29,0.5454545454545454
2013-10-06,0.6119402985074627
2013-10-13,0.4939759036144578
2013-10-20,0.6133333333333333
2013-10-27,0.6351351351351351
2013-11-03,0.5247524752475248
2013-11-10,0.525
2013-11-17,0.4948453608247423
2013-11-24,0.44554455445544555
2013-12-01,0.4895833333333333
2013-12-08,0.6111111111111112
2013-12-15,0.5955056179775281
2013-12-22,0.673469387755102
2013-12-29,0.4883720930232558
2014-01-05,0.45977011494252873
2014-01-12,0.45794392523364486
2014-01-19,0.47115384615384615
2014-01-26,0.6165413533834586
2014-02-02,0.5426356589147286
2014-02-09,0.5510204081632653
2014-02-16,0.5099337748344371
2014-02-23,0.5815602836879432
2014-03-02,0.6311475409836066
2014-03-09,0.6551724137931034
2014-03-16,0.5210084033613446
2014-03-23,0.6126126126126126
2014-03-30,0.5174825174825175
2014-04-06,0.5877862595419847
2014-04-13,0.631578947368421
2014-04-20,0.5625
2014-04-27,0.46825396825396826
2014-05-04,0.6083333333333333
2014-05-11,0.5891089108910891
2014-05-18,0.6086956521739131
2014-05-25,0.6062992125984252
2014-06-01,0.5055555555555555
2014-06-08,0.5980392156862745
2014-06-15,0.4375
2014-06-22,0.49473684210526314
2014-06-29,0.6195652173913043
2014-07-06,0.48863636363636365
2014-07-13,0.5797101449275363
2014-07-20,0.4659090909090909
2014-07-27,0.453125
2014-08-03,0.46875
2014-08-10,0.5
2014-08-17,0.5294117647058824
2014-08-24,0.5476190476190477
2014-08-31,0.6078431372549019
2014-09-07,0.5655737704918032
2014-09-14,0.4318181818181818
2014-09-21,0.5363636363636364
2014-09-28,0.6308724832214765
2014-10-05,0.5874125874125874
2014-10-12,0.6335877862595419
2014-10-19,0.6
2014-10-26,0.5572519083969466
2014-11-02,0.5080645161290323
2014-11-09,0.52
2014-11-16,0.5038167938931297
2014-11-23,0.6186440677966102
2014-11-30,0.5384615384615384
2014-12-07,0.5964912280701754
2014-12-14,0.5813953488372093
2014-12-21,0.5074626865671642
2014-12-28,0.4722222222222222
2015-01-04,0.5769230769230769
2015-01-11,0.6272727272727273
2015-01-18,0.6402877697841727
2015-01-25,0.6377952755905512
2015-02-01,0.6114649681528662
2015-02-08,0.5725806451612904
2015-02-15,0.59375
2015-02-22,0.624
2015-03-01,0.6187845303867403
2015-03-08,0.5747126436781609
2015-03-15,0.6216216216216216
2015-03-22,0.5269461077844312
2015-03-29,0.5260416666666666
2015-04-05,0.6133333333333333
2015-04-12,0.554140127388535
2015-04-19,0.56875
2015-04-26,0.6183206106870229
2015-05-03,0.6285714285714286
2015-05-10,0.6079545454545454
2015-05-17,0.5868544600938967
2015-05-24,0.6644736842105263
2015-05-31,0.6384180790960452
2015-06-07,0.5568862275449101
2015-06-14,0.562962962962963
2015-06-21,0.5368421052631579
2015-06-28,0.5130434782608696
2015-07-05,0.5465116279069767
2015-07-12,0.4716981132075472
2015-07-19,0.5408163265306123
2015-07-26,0.43037974683544306
2015-08-02,0.4090909090909091
2015-08-09,0.5
2015-08-16,0.5
2015-08-23,0.5211267605633803
2015-08-30,0.6607142857142857
2015-09-06,0.5041322314049587
2015-09-13,0.6474820143884892
2015-09-20,0.6028368794326241
2015-09-27,0.5714285714285714
2015-10-04,0.6548672566371682
2015-10-11,0.5714285714285714
2015-10-18,0.631578947368421
2015-10-25,0.5267857142857143
2015-11-01,0.689922480620155
2015-11-08,0.5454545454545454
2015-11-15,0.6171875
2015-11-22,0.5254237288135594
2015-11-29,0.5742574257425742
2015-12-06,0.5740740740740741
2015-12-13,0.59375
2015-12-20,0.6666666666666666
2015-12-27,0.5111111111111111
2016-01-03,0.6666666666666666
2016-01-10,0.6063829787234043
2016-01-17,0.7105263157894737
2016-01-24,0.76
2016-01-31,0.6869565217391305
2016-02-07,0.678082191780822
2016-02-14,0.6846153846153846
2016-02-21,0.6641221374045801
2016-02-28,0.6864406779661016
2016-03-06,0.7124183006535948
2016-03-13,0.6909090909090909
2016-03-20,0.6129032258064516
2016-03-27,0.6850393700787402
2016-04-03,0.6973684210526315
2016-04-10,0.6891891891891891
2016-04-17,0.631578947368421
2016-04-24,0.732824427480916
2016-05-01,0.7606837606837606
2016-05-08,0.7346938775510204
2016-05-15,0.71875
2016-05-22,0.6488095238095238
2016-05-29,0.6388888888888888
2016-06-05,0.7046979865771812
2016-06-12,0.6363636363636364
2016-06-19,0.6483516483516484
2016-06-26,0.5454545454545454
2016-07-03,0.6176470588235294
2016-07-10,0.5625
2016-07-17,0.575
2016-07-24,0.6585365853658537
2016-07-31,0.5849056603773585
2016-08-07,0.45714285714285713
2016-08-14,0.5
2016-08-21,0.6666666666666666
2016-08-28,0.6290322580645161
2016-09-04,0.6944444444444444
2016-09-11,0.6956521739130435
2016-09-18,0.691358024691358
2016-09-25,0.66
2016-10-02,0.6857142857142857
2016-10-09,0.6627906976744186
2016-10-16,0.71
2016-10-23,0.8375
2016-10-30,0.7252747252747253
2016-11-06,0.648936170212766
2016-11-13,0.7281553398058253
2016-11-20,0.61
2016-11-27,0.7564102564102564
2016-12-04,0.75
2016-12-11,0.5538461538461539
2016-12-18,0.6666666666666666
2016-12-25,0.6206896551724138
2017-01-01,0.5849056603773585
2017-01-08,0.8028169014084507
2017-01-15,0.6413043478260869
2017-01-22,0.7
2017-01-29,0.6869565217391305
2017-02-05,0.6486486486486487
2017-02-12,0.6694214876033058
2017-02-19,0.6907216494845361
2017-02-26,0.6949152542372882
2017-03-05,0.6590909090909091
2017-03-12,0.7222222222222222
2017-03-19,0.6929824561403509
2017-03-26,0.7565217391304347
2017-04-02,0.7176470588235294
2017-04-09,0.6770833333333334
2017-04-16,0.7652173913043478
2017-04-23,0.7647058823529411
2017-04-30,0.6448598130841121
2017-05-07,0.794392523364486
2017-05-14,0.6640625
2017-05-21,0.7640449438202247
2017-05-28,0.7769230769230769
2017-06-04,0.7383177570093458
2017-06-11,0.7523809523809524
2017-06-18,0.696969696969697
2017-06-25,0.75
2017-07-02,0.8157894736842105
2017-07-09,0.7647058823529411
2017-07-16,0.6410256410256411
2017-07-23,0.5555555555555556
2017-07-30,0.7272727272727273
2017-08-06,0.6296296296296297
2017-08-13,0.6666666666666666
2017-08-20,0.6666666666666666
2017-08-27,0.5357142857142857
2017-09-03,0.6212121212121212
2017-09-10,0.671875
2017-09-17,0.7532467532467533
2017-09-24,0.6612903225806451
2017-10-01,0.6823529411764706
2017-10-08,0.7236842105263158
2017-10-15,0.7228915662650602
2017-10-22,0.6307692307692307
2017-10-29,0.5675675675675675
2017-11-05,0.6831683168316832
2017-11-12,0.7241379310344828
2017-11-19,0.7123287671232876
2017-11-26,0.6428571428571429
2017-12-03,0.5925925925925926
2017-12-10,0.5428571428571428
2017-12-17,0.47368421052631576
2017-12-24,0.5185185185185185
2017-12-31,0.6341463414634146
2018-01-07,0.6481481481481481
2018-01-14,0.7076923076923077
2018-01-21,0.5952380952380952
2018-01-28,0.6991150442477876
2018-02-04,0.6836734693877551
2018-02-11,0.6265060240963856
2018-02-18,0.651685393258427
2018-02-25,0.7454545454545455
2018-03-04,0.7657657657657657
2018-03-11,0.6140350877192983
2018-03-18,0.6592592592592592
2018-03-25,0.5132743362831859
2018-04-01,0.7280701754385965
2018-04-08,0.7153284671532847
2018-04-15,0.7211538461538461
2018-04-22,0.7294117647058823
2018-04-29,0.7578947368421053
2018-05-06,0.7586206896551724
2018-05-13,0.7846153846153846
2018-05-20,0.7288135593220338
2018-05-27,0.6438356164383562
2018-06-03,0.693069306930693
2018-06-10,0.6306306306306306
2018-06-17,0.7397260273972602
2018-06-24,0.631578947368421
2018-07-01,0.6349206349206349
2018-07-08,0.6153846153846154
2018-07-15,0.5121951219512195
2018-07-22,0.7058823529411765
2018-07-29,0.5405405405405406
2018-08-05,0.5555555555555556
2018-08-12,0.6129032258064516
2018-08-19,0.575
2018-08-26,0.8076923076923077
2018-09-02,0.7536231884057971
2018-09-09,0.6043956043956044
2018-09-16,0.7540983606557377
2018-09-23,0.5223880597014925
2018-09-30,0.7058823529411765
2018-10-07,0.5494505494505495
2018-10-14,0.6363636363636364
2018-10-21,0.68
2018-10-28,0.6811594202898551
2018-11-04,0.6744186046511628
2018-11-11,0.6164383561643836
2018-11-18,0.5844155844155844
2018-11-25,0.5483870967741935
2018-12-02,0.6296296296296297
2018-12-09,0.6326530612244898
2018-12-16,0.7142857142857143
2018-12-23,0.6153846153846154
2018-12-30,0.7631578947368421
2019-01-06,0.7058823529411765
2019-01-13,0.7096774193548387
2019-01-20,0.8214285714285714
2019-01-27,0.6704545454545454
2019-02-03,0.6161616161616161
2019-02-10,0.5980392156862745
2019-02-17,0.6630434782608695
2019-02-24,0.648936170212766
2019-03-03,0.6470588235294118
2019-03-10,0.5851063829787234
2019-03-17,0.7010309278350515
2019-03-24,0.5730337078651685
2019-03-31,0.6470588235294118
2019-04-07,0.625
2019-04-14,0.5531914893617021
2019-04-21,0.5353535353535354
2019-04-28,0.6761904761904762
2019-05-05,0.6136363636363636
2019-05-12,0.6610169491525424
2019-05-19,0.6421052631578947
2019-05-26,0.6309523809523809
2019-06-02,0.7211538461538461
2019-06-09,0.6176470588235294
2019-06-16,0.5882352941176471
2019-06-23,0.6440677966101694
2019-06-30,0.5862068965517241
2019-07-07,0.5581395348837209
2019-07-14,0.5882352941176471
2019-07-21,0.59375
2019-07-28,0.68
2019-08-04,0.6
2019-08-11,0.6818181818181818
2019-08-18,0.5416666666666666
2019-08-25,0.5789473684210527
2019-09-01,0.6785714285714286
2019-09-08,0.7307692307692307
2019-09-15,0.7017543859649122
2019-09-22,0.7796610169491526
2019-09-29,0.6956521739130435
2019-10-06,0.7466666666666667
2019-10-13,0.6578947368421053
2019-10-20,0.6440677966101694
2019-10-27,0.7358490566037735
2019-11-03,0.7448979591836735
2019-11-10,0.6506024096385542
2019-11-17,0.6575342465753424
2019-11-24,0.5689655172413793
2019-12-01,0.6440677966101694
2019-12-08,0.6078431372549019
2019-12-15,0.6818181818181818
2019-12-22,0.631578947368421
2019-12-29,0.5185185185185185
2020-01-05,0.5454545454545454
2020-01-12,0.6491228070175439
2020-01-19,0.5692307692307692
2020-01-26,0.6962025316455697
2020-02-02,0.7123287671232876
2020-02-09,0.7777777777777778
2020-02-16,0.6825396825396826
2020-02-23,0.6
2020-03-01,0.8333333333333334
2020-03-08,0.717391304347826
2020-03-15,0.6666666666666666
2020-03-22,0.6
2020-03-29,0.725
2020-04-05,0.7924528301886793
2020-04-12,0.6944444444444444
2020-04-19,0.7073170731707317
2020-04-26,0.8431372549019608
2020-05-03,0.8387096774193549
2020-05-10,0.673469387755102
2020-05-17,0.6086956521739131
2020-05-24,0.7164179104477612
2020-05-31,0.7586206896551724
2020-06-07,0.7704918032786885
2020-06-14,0.6666666666666666
2020-06-21,0.5576923076923077
2020-06-28,0.5178571428571429
2020-07-05,0.5641025641025641
2020-07-12,0.5238095238095238
2020-07-19,0.5862068965517241
2020-07-26,0.5483870967741935
2020-08-02,0.5116279069767442
2020-08-09,0.45454545454545453
2020-08-16,0.6086956521739131
2020-08-23,0.5833333333333334
2020-08-30,0.5964912280701754
2020-09-06,0.6
2020-09-13,0.574468085106383
2020-09-20,0.43103448275862066
2020-09-27,0.6
2020-10-04,0.6379310344827587
2020-10-11,0.5901639344262295
2020-10-18,0.6964285714285714
2020-10-25,0.575
2020-11-01,0.7272727272727273
2020-11-08,0.7564102564102564
2020-11-15,0.6527777777777778
2020-11-22,0.68
2020-11-29,0.726027397260274
2020-12-06,0.6923076923076923
2020-12-13,0.5813953488372093
2020-12-20,0.5757575757575758
2020-12-27,0.7222222222222222
2021-01-03,0.7073170731707317
2021-01-10,0.6349206349206349
2021-01-17,0.7708333333333334
2021-01-24,0.5714285714285714
2021-01-31,0.5789473684210527
2021-02-07,0.7924528301886793
2021-02-14,0.75
2021-02-21,0.6363636363636364
2021-02-28,0.7647058823529411
2021-03-07,0.6349206349206349
2021-03-14,0.5466666666666666
2021-03-21,0.625
2021-03-28,0.7368421052631579
2021-04-04,0.7068965517241379
2021-04-11,0.7
2021-04-18,0.6527777777777778
2021-04-25,0.8214285714285714
2021-05-02,0.7341772151898734
2021-05-09,0.6103896103896104
2021-05-16,0.6438356164383562
2021-05-23,0.7424242424242424
2021-05-30,0.7397260273972602
2021-06-06,0.6290322580645161
2021-06-13,0.5769230769230769
2021-06-20,0.6
2021-06-27,0.5833333333333334
2021-07-04,0.5238095238095238
2021-07-11,0.48148148148148145
2021-07-18,0.5
2021-07-25,0.4166666666666667
2021-08-01,0.6585365853658537
2021-08-08,0.6666666666666666
2021-08-15,0.5714285714285714
2021-08-22,0.47058823529411764
2021-08-29,0.6857142857142857
2021-09-05,0.7857142857142857
2021-09-12,0.7605633802816901
2021-09-19,0.711864406779661
2021-09-26,0.6986301369863014
2021-10-03,0.6470588235294118
2021-10-10,0.5925925925925926
2021-10-17,0.7192982456140351
2021-10-24,0.5652173913043478
2021-10-31,0.55
2021-11-07,0.7454545454545455
2021-11-14,0.6166666666666667
2021-11-21,0.5238095238095238
2021-11-28,0.49122807017543857
2021-12-05,0.49019607843137253
2021-12-12,0.5531914893617021
2021-12-19,0.4444444444444444
2021-12-26,0.5
2022-01-02,0.5454545454545454
2022-01-09,0.6666666666666666
2022-01-16,0.7317073170731707
2022-01-23,0.5882352941176471
2022-01-30,0.578125
2022-02-06,0.6078431372549019
2022-02-13,0.6491228070175439
2022-02-20,0.5846153846153846
2022-02-27,0.6212121212121212
2022-03-06,0.6231884057971014
2022-03-13,0.5932203389830508
2022-03-20,0.6833333333333333
2022-03-27,0.6071428571428571
2022-04-03,0.576271186440678
2022-04-10,0.5853658536585366
2022-04-17,0.6862745098039216
2022-04-24,0.6666666666666666
2022-05-01,0.6
2022-05-08,0.7169811320754716
2022-05-15,0.5892857142857143
2022-05-22,0.6
2022-05-29,0.6375
2022-06-05,0.6274509803921569
2022-06-12,0.625
2022-06-19,0.5777777777777777
2022-06-26,0.6341463414634146
2022-07-03,0.7142857142857143
2022-07-10,0.45
2022-07-17,0.45454545454545453
2022-07-24,0.42105263157894735
2022-07-31,0.34782608695652173
2022-08-07,0.35
2022-08-14,0.5714285714285714
2022-08-21,0.48
2022-08-28,0.5526315789473685
2022-09-04,0.65
2022-09-11,0.7297297297297297
2022-09-18,0.6818181818181818
2022-09-25,0.6779661016949152
2022-10-02,0.6666666666666666
2022-10-09,0.673469387755102
2022-10-16,0.5625
2022-10-23,0.717948717948718
2022-10-30,0.625
2022-11-06,0.6041666666666666
2022-11-13,0.6590909090909091
2022-11-20,0.6666666666666666
2022-11-27,0.7045454545454546
2022-12-04,0.5483870967741935
2022-12-11,0.6666666666666666
2022-12-18,0.7058823529411765
2022-12-25,0.6923076923076923
2023-01-01,0.5217391304347826
2023-01-08,0.7142857142857143
2023-01-15,0.631578947368421
2023-01-22,0.5806451612903226
2023-01-29,0.7608695652173914
2023-02-05,0.6875
2023-02-12,0.6923076923076923
2023-02-19,0.6666666666666666
2023-02-26,0.6666666666666666
2023-03-05,0.6909090909090909
2023-03-12,0.6515151515151515
2023-03-19,0.7317073170731707
2023-03-26,0.66
2023-04-02,0.68
2023-04-09,0.4857142857142857
2023-04-16,0.6379310344827587
2023-04-23,0.6304347826086957
2023-04-30,0.6857142857142857
2023-05-07,0.7068965517241379
2023-05-14,0.6458333333333334
2023-05-21,0.8918918918918919
2023-05-28,0.6212121212121212
2023-06-04,0.7017543859649122
2023-06-11,0.7291666666666666
2023-06-18,0.627906976744186
2023-06-25,0.6923076923076923
2023-07-02,0.5714285714285714
2023-07-09,0.4666666666666667
2023-07-16,0.4318181818181818
2023-07-23,0.46153846153846156
2023-07-30,0.6818181818181818
2023-08-06,0.3333333333333333
2023-08-13,0.55
2023-08-20,0.5555555555555556
2023-08-27,0.6
2023-09-03,0.7352941176470589
2023-09-10,0.5945945945945946
2023-09-17,0.5789473684210527
2023-09-24,0.7878787878787878
2023-10-01,0.6410256410256411
2023-10-08,0.7241379310344828
2023-10-15,0.8157894736842105
2023-10-22,0.6
2023-10-29,0.7045454545454546
2023-11-05,0.5510204081632653
2023-11-12,0.7391304347826086
2023-11-19,0.5675675675675675
2023-11-26,0.7241379310344828
2023-12-03,0.47619047619047616
2023-12-10,0.5666666666666667
2023-12-17,0.625
2023-12-24,0.6666666666666666
2023-12-31,0.8333333333333334
